imglink,title,category,videolink
https://img.youtube.com/vi/grvQMO25FKw/0.jpg,초보자를 위한 20분 전신운동,전신,https://www.youtube.com/embed/grvQMO25FKw?rel=0&autoplay=1
https://img.youtube.com/vi/5Neglgx9Jcw/0.jpg,10분동안 칼로리 불태우기 - 레베카 루이즈,전신,https://www.youtube.com/embed/5Neglgx9Jcw?rel=0&autoplay=1
https://img.youtube.com/vi/wm942ey8d6Q/0.jpg,어디에서나 할수 있는 전신지방 불태우기,전신,https://www.youtube.com/embed/wm942ey8d6Q?rel=0&autoplay=1
https://img.youtube.com/vi/RAHMnnIUeSk/0.jpg,몸의 옆라인을 가꿔주는 운동 [사이드 플랭크],전신,https://www.youtube.com/embed/RAHMnnIUeSk?rel=0&autoplay=1
https://img.youtube.com/vi/jUx4hUcr1ik/0.jpg,초보자을 위한 전신 운동,전신,https://www.youtube.com/embed/jUx4hUcr1ik?rel=0&autoplay=1
https://img.youtube.com/vi/3o6Vr3T_zi0/0.jpg,전신 바디 15분 운동,전신,https://www.youtube.com/embed/3o6Vr3T_zi0?rel=0&autoplay=1
https://img.youtube.com/vi/MPjnakiEWRo/0.jpg,레베카 언니가 아리아나 그란데 따라잡기,전신,https://www.youtube.com/embed/MPjnakiEWRo?rel=0&autoplay=1
https://img.youtube.com/vi/P921J1Fjoug/0.jpg,45분 근력운동을 통해 칼로리 불태우기,전신,https://www.youtube.com/embed/P921J1Fjoug?rel=0&autoplay=1
https://img.youtube.com/vi/JASkv4VugQU/0.jpg,체중 Down↓↓ 전신 Full 바디 운동,전신,https://www.youtube.com/embed/JASkv4VugQU?rel=0&autoplay=1
https://img.youtube.com/vi/cgTE_09hEDU/0.jpg,10분 운동을 통해 지방 불태우기,전신,https://www.youtube.com/embed/cgTE_09hEDU?rel=0&autoplay=1
https://img.youtube.com/vi/G8I0XO32tbA/0.jpg,신진대사를 높여주는 운동 - 칼로리 불태우기,전신,https://www.youtube.com/embed/G8I0XO32tbA?rel=0&autoplay=1
https://img.youtube.com/vi/6IKwWvvMFpw/0.jpg,초보자용 지방태우기 운동 - 10분 운동,전신,https://www.youtube.com/embed/6IKwWvvMFpw?rel=0&autoplay=1
https://img.youtube.com/vi/IjDcqZK3zpk/0.jpg,캐시언니의 유산소운동 여름 챌린지 2,전신,https://www.youtube.com/embed/IjDcqZK3zpk?rel=0&autoplay=1
https://img.youtube.com/vi/JdK_D-wuHG8/0.jpg,초보자를 위한 10분 전신운동,전신,https://www.youtube.com/embed/JdK_D-wuHG8?rel=0&autoplay=1
https://img.youtube.com/vi/FRDGlIJTVt8/0.jpg,효과 좋은 4분 운동 - 지방 불태우기,전신,https://www.youtube.com/embed/FRDGlIJTVt8?rel=0&autoplay=1
https://img.youtube.com/vi/bgdb5QgI9aU/0.jpg,45분 타바타 운동으로 칼로리 불태우기,전신,https://www.youtube.com/embed/bgdb5QgI9aU?rel=0&autoplay=1
https://img.youtube.com/vi/QHda9TQMOms/0.jpg,초보자를 위한 전신운동 - 10분 운동,전신,https://www.youtube.com/embed/QHda9TQMOms?rel=0&autoplay=1
https://img.youtube.com/vi/X1kMiRQq354/0.jpg,캐시언니의 아파트내 운동 시리즈 - 전신 지방 불태우기,전신,https://www.youtube.com/embed/X1kMiRQq354?rel=0&autoplay=1
https://img.youtube.com/vi/ByQ3z7PuS-c/0.jpg,레베카 언니의 체중감량 15분 전신 운동,전신,https://www.youtube.com/embed/ByQ3z7PuS-c?rel=0&autoplay=1
https://img.youtube.com/vi/WinsVGCnM30/0.jpg,비키니 바디 운동 - 팔&다리 운동,전신,https://www.youtube.com/embed/WinsVGCnM30?rel=0&autoplay=1
https://img.youtube.com/vi/5WCG80pfVPU/0.jpg,탄력있는 바디라인을 만들기,전신,https://www.youtube.com/embed/5WCG80pfVPU?rel=0&autoplay=1
https://img.youtube.com/vi/vlT3GSPUEGo/0.jpg,체중감량을 위한 강렬한 10분 운동,전신,https://www.youtube.com/embed/vlT3GSPUEGo?rel=0&autoplay=1
https://img.youtube.com/vi/RLV2x-Is13s/0.jpg,8분 운동으로 완벽한 바디 라인 만들기,전신,https://www.youtube.com/embed/RLV2x-Is13s?rel=0&autoplay=1
https://img.youtube.com/vi/pTe_t20vYHM/0.jpg,체지방 불태우기 - 5분 운동,전신,https://www.youtube.com/embed/pTe_t20vYHM?rel=0&autoplay=1
https://img.youtube.com/vi/nIwy1wg350g/0.jpg,20분 전신 운동으로 칼로리 불태우기,전신,https://www.youtube.com/embed/nIwy1wg350g?rel=0&autoplay=1
https://img.youtube.com/vi/Qn-EWs8-Yq0/0.jpg,40분 운동으로 400 칼로리 불태우기,전신,https://www.youtube.com/embed/Qn-EWs8-Yq0?rel=0&autoplay=1
https://img.youtube.com/vi/tWXDxI_e8ic/0.jpg,살아있는 모델 라인을 만들어주는 운동,전신,https://www.youtube.com/embed/tWXDxI_e8ic?rel=0&autoplay=1
https://img.youtube.com/vi/X_flLuDO3vg/0.jpg,레베카 언니의 여름 대비용 전신 Full 운동,전신,https://www.youtube.com/embed/X_flLuDO3vg?rel=0&autoplay=1
https://img.youtube.com/vi/Pl9NJQo8Hes/0.jpg,30분 전신 운동 - 체중감량 운동,전신,https://www.youtube.com/embed/Pl9NJQo8Hes?rel=0&autoplay=1
